Timestamp,Datetime,Channel,Min,Max,Amplitude
6978.14,2013-01-25 23:56:18.140000,bcg,3.85,4.25,1290.8058237
6982.59,2013-01-25 23:56:22.590000,bcg,4.05,3.9,845.001757043
6986.64,2013-01-25 23:56:26.640000,bcg,4.05,4.25,686.767960151
6990.84,2013-01-25 23:56:30.840000,bcg,4.2,4.0,583.289898357
6994.59,2013-01-25 23:56:34.590000,bcg,4.1,3.95,813.786368059
6998.49,2013-01-25 23:56:38.490000,bcg,3.9,4.05,981.219869369
7002.44,2013-01-25 23:56:42.440000,bcg,3.95,3.8,917.882628617
7006.29,2013-01-25 23:56:46.290000,bcg,3.85,4.0,933.546728379
7010.34,2013-01-25 23:56:50.340000,bcg,4.05,4.2,1010.62032595
7014.54,2013-01-25 23:56:54.540000,bcg,4.2,4.15,1050.9923417
7018.69,2013-01-25 23:56:58.690000,bcg,4.15,4.3,1042.65809511
7023.29,2013-01-25 23:57:03.290000,bcg,4.15,4.0,711.574162366
7027.14,2013-01-25 23:57:07.140000,bcg,3.85,3.75,799.810359244
7031.29,2013-01-25 23:57:11.290000,bcg,4.15,4.5,866.30002823
7035.69,2013-01-25 23:57:15.690000,bcg,4.4,4.45,906.653951472
7039.94,2013-01-25 23:57:19.940000,bcg,4.25,3.9,865.647696679
7043.94,2013-01-25 23:57:23.940000,bcg,4.0,4.4,897.391556525
7048.24,2013-01-25 23:57:28.240000,bcg,4.3,3.9,797.953861812
7052.24,2013-01-25 23:57:32.240000,bcg,4.0,4.15,715.323602792
7056.44,2013-01-25 23:57:36.440000,bcg,4.2,4.3,757.948835957
7060.79,2013-01-25 23:57:40.790000,bcg,4.35,4.15,846.649406905
7092.89,2013-01-25 23:58:12.890000,bcg,4.2,3.9,877.849984489
7096.79,2013-01-25 23:58:16.790000,bcg,3.9,4.1,841.026059442
7101.29,2013-01-25 23:58:21.290000,bcg,4.1,4.2,880.347427234
7105.59,2013-01-25 23:58:25.590000,bcg,4.3,4.4,894.888507852
7110.04,2013-01-25 23:58:30.040000,bcg,4.45,4.45,897.771210599
7114.39,2013-01-25 23:58:34.390000,bcg,4.35,3.95,733.173540082
7117.99,2013-01-25 23:58:37.990000,bcg,3.95,3.7,623.54907139
7125.94,2013-01-25 23:58:45.940000,bcg,4.05,4.65,921.749250988
7130.64,2013-01-25 23:58:50.640000,bcg,4.7,4.35,740.822846881
7134.94,2013-01-25 23:58:54.940000,bcg,4.3,4.7,979.860331005
7139.54,2013-01-25 23:58:59.540000,bcg,4.6,3.85,748.359205206
7143.24,2013-01-25 23:59:03.240000,bcg,3.7,3.95,922.487545984
7147.24,2013-01-25 23:59:07.240000,bcg,4.0,3.95,940.630238666
7151.19,2013-01-25 23:59:11.190000,bcg,3.95,3.95,853.420030077
7155.34,2013-01-25 23:59:15.340000,bcg,4.15,4.3,876.542248786
